ID;ASESOR;CDUSUARIO;PERFIL;GÉNERO;TIPO DE FAMILIA;FECHA DE NACIMIENTO;EDAD;MOMENTO DE VIDA;NUMERO DE DEPENDIENTES;ESTADO;Valor deuda;Tiene o no tiene deudas;Rango deuda;Cotizacion;CIERRE;FECOTIZACION;AYV;INGRESOS_EMPLEADOS;INGRESOS_INDEPENDIENTE;TOTAL_INGRESOS;GRUPO VALOR;Empleados o Indenpendientes;FUMA;ALCOHOL;ACTIVIDAD_FISICA;TIEMPO_ACTIVIDAD;Cat_Act_Física;USA_MOTO;USA_AUTOMOVIL;USA_BICICLETA;USATRANS_PUBLICO;Movilidad;ALIMENTACION;ESTRES;PESO;ESTATURA;Cine;Cultura;Deporte;Lectura;Mascotas;Musica;Otros;Restaurantes;Tecnologia;Viajes;Total_general
42089;1111;JULIGIOO;Auxiliar;M;Nuclear;22534;56,89041096;Adulto;1;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;0;8000000;8000000;ALTO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42090;7012;GILBNECA;Auxiliar;F;Nuclear;23796,95833;53,43025114;Adulto;3;COTIZACION;3000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;0;5000000;5000000;ALTO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42091;11677;11677;Asesor;F;Solo;29375,95833;38,14531964;Adulto Joven 2;0;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;0;5000000;5000000;ALTO;Independiente;SI;2;SI;2,5;2;N;S;N;N;2;Normal;1;65;180;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42092;6500;6500;Asesor;M;Nuclear;30964,95833;33,79189498;Adulto Joven 1;0;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;19000000;0;19000000;ALTO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42093;3795;3795;Asesor;M;Pareja sin hijos;25560;48,6;Adulto;NA;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;0;8000000;8000000;ALTO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42095;35679;35679;Asesor;M;Pareja sin hijos;31026;33,62465753;Adulto Joven 1;NA;COTIZACION;500000;;< 1 SMLVM;1;0;8/03/2017;S;1800000;0;1800000;MEDIO;Empleado;SI;2;SI;4;3;S;S;N;N;9;Saludable;0;66;167;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42096;10270;10270;Asesor;M;Pareja sin hijos;23122,95833;55,27682648;Adulto;1;SOLICITUD;0;No;No tiene;1;1;8/03/2017;S;0;10000000;10000000;ALTO;Independiente;NO;0;SI;4;3;N;S;N;N;2;Normal;2;67;165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42097;43161;GLORMOHE;Auxiliar;F;Nuclear;29781;37,03561644;Adulto Joven 2;2;COTIZACION;700000;;< 1 SMLVM;1;0;8/03/2017;S;0;3000000;3000000;MEDIO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42098;1472;1472;Asesor;F;Nuclear;27173,95833;44,17819635;Adulto Joven 2;2;COTIZACION;500000;;< 1 SMLVM;1;0;8/03/2017;S;0;2000000;2000000;MEDIO;Independiente;NA;NA;NO;NA;NA;N;N;N;N;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42099;33799;33799;Asesor;M;Solo;31092;33,44383562;Adulto Joven 1;0;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;1800000;0;1800000;MEDIO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
