;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
9091;femenino;comercio;tienda;belen;3;16.0;6/09/2017;5000000;microempresarial
9092;femenino;comercio;comidas rapidas;el salvador;2;9.0;29/08/2018;7000000;microempresarial
9093;femenino;comercio;variedades;popular;2;1.0;25/10/2018;5000000;microempresarial
9094;femenino;comercio;comidas rapidas;cabecera san antonio ;2;80.0;27/06/2019;4500000;microempresarial
9095;masculino;comercio;cerrajeria;el pinal;2;8.0;10/01/2017;7377710;microempresarial
9096;femenino;comercio;almacen de ropa en ;robledo;2;7.0;19/02/2018;5000000;microempresarial
9097;masculino;comercio;comidas rapidas;loreto;2;9.0;29/01/2019;8200000;microempresarial
9098;femenino;comercio;tienda;manrique central no. 2;3;3.0;8/05/2019;8000000;microempresarial
9099;masculino;servicio;publicidad y ;guayabal;3;15.0;13/12/2016;7583994;empresarial ed. 
9100;femenino;comercio;variedades;carpinelo;1;1.0;8/03/2016;6444000;microempresarial
9101;femenino;servicio;comidas rapidas;villa hermosa;3;60.0;28/09/2016;5000000;microempresarial
9102;masculino;comercio;variedades;cabecera san cristobal;2;60.0;2018/10/24;7800000;microempresarial
9103;femenino;industria;fabrica de ;aranjuez;01;4.0;23/01/2017;7000000;microempresarial
9104;femenino;comercio;fabrica de ;robledo;2;7.0;25/10/2018;2000000;microempresarial
9105;femenino;servicio;variedades;manrique central no. 1;2;4.0;13/09/2017;7377000;microempresarial
9106;femenino;comercio;comidas rapidas;castilla;3;5.0;30/01/2017;7370000;microempresarial
9107;masculino;servicio;tienda;alfonso lopez;3;5.0;27/02/2019;6500000;microempresarial
9108;femenino;comercio;comidas rapidas;las palmas;3;10.0;24/10/2018;5000000;microempresarial
9109;masculino;comercio;variedades;versalles no. 1;1;3.0;28/11/2017;7300000;microempresarial
9110;masculino;comercio;almacen de ropa en ;MANRIQUE ORIENTAL;2;3.0;21/12/2016;6000000;microempresarial
9111;femenino;COMERCIO;comidas rapidas;manrique oriental;2;7.0;30/05/2018;7800000;microempresarial
9112;femenino;comercio;fabrica de helados;robledo;2;7.0;15/09/2016;6000000;microempresarial
9113;masculino;servicio;recreativo-educativo;santa cruz;3;2.0;14/02/2018;7800000;microempresarial
9114;femenino;comercio;peluqueria;belen;2;16.0;7/07/2017;1000000;microempresarial
9115;femenino;servicio;peluqueria;santa lucia;3;12.0;26/05/2017;7370000;microempresarial
9116;femenino;comercio;tienda;belencito;2;13.0;12/05/2016;6000000;microempresarial
9117;femenino;industria;criadero de animales ;santo domingo savio ;1;1.0;20/10/2017;3000000;microempresarial
9118;masculino;servicio;mantenimiento en ;;3;9.0;29/09/2016;5000000;microempresarial
9119;femenino;comercio;miscelanea;robledo;2;7.0;21/03/2018;7000000;microempresarial
9120;masculino;servicio;montallantas;belen;2;16.0;25/07/2016;6800000;microempresarial
9121;femenino;industria;fabrica de ;manrique oriental;2;3.0;2018/04/19;3000000;microempresarial
9122;masculino;AGROPECUARIA;sembrados;cabecera san cristobal;2;60.0;22/08/2018;19000000;agropecuaria
9123;femenino;industria;fabrica de ;centro admtivo;3;10.0;20/04/2017;6000000;microempresarial
9124;femenino;comercio;peluqueria;villa hermosa;3;8.0;25/04/2018;3000000;microempresarial
9125;masculino;SERVICIO;tienda;barrio caicedo;3;9.0;12/05/2017;1500000;microempresarial
9126;masculino;comercio;fabrica de ;aranjuez;3;4.0;6/06/2019;6000000;microempresarial
9127;femenino;servicio;comidas rapidas;san javier no.1;1;13.0;1/04/2016;4000000;microempresarial
9128;femenino;comercio;comidas-rapidas;manrique-central-no.-1;2;4.0;14/08/2018;800000;microempresarial
9129;masculino;comercio;fabrica de alimentos;popular;1;1.0;21/11/2018;2000000;microempresarial
9130;femenino;comercio;variedades;santo domingo savio ;1;1.0;5/10/2016;6850000;microempresarial
9131;masculino;comercio;mantenimiento en ;la candelaria;1;10.0;23/02/2016;3000000;microempresarial
9132;femenino;comercio;almacen de ropa en ;manrique central no. 1;1;4.0;10/08/2017;4000000;microempresarial
9133;masculino;industria;fabrica de ;santo domingo savio ;1;1.0;2/11/2017;7000000;microempresarial
9134;femenino;comercio;variedades;calasanz;01;12.0;1/04/2019;8200000;MICROEMPRESARIAL
9135;femenino;comercio;variedades;san javier no.1;3;13.0;5/07/2016;6000000;microempresarial
9136;femenino;industria;fabrica de ;calasanz;2;12.0;5/09/2018;5000000;microempresarial
9137;femenino;comercio;tienda;campo valdes no. 1;3;4.0;20/10/2016;6890000;microempresarial
9138;femenino;servicio;peluqueria;florencia;3;5.0;9/11/2017;6000000;microempresarial
9139;femenino;industria;fabrica de ;san javier no.1;2;13.0;2/12/2016;4000000;microempresarial
9140;femenino;comercio;variedades;miranda;2;4.0;31/07/2017;7000000;microempresarial
9141;femenino;comercio;almacen de ropa en ;20 de julio;2;13.0;21/08/2018;3000000;microempresarial
9142;masculino;industria;fabrica de ;juan xxiii la quiebra;2;13.0;10/05/2018;4000000;microempresarial
9143;femenino;industria;fabrica de ;buenos aires;2;9.0;2018/02/22;4000000;microempresarial
9144;femenino;comercio;tienda;popular;2;1.0;29/02/2016;3000000;microempresarial
9145;masculino;comercio;taller de mecanica;el salvador;3;9.0;29/08/2018;7800000;microempresarial
9146;femenino;comercio;tienda;moravia;2;4.0;10/05/2018;4000000;microempresarial
9147;femenino;comercio;charcuteria;popular;02;1.0;13/03/2019;5300000;microempresarial
9148;femenino;comercio;tienda;buenos aires;2;9.0;2017/12/29;5000000;microempresarial
9149;femenino;comercio;tienda de helados;playon de los ;2;2.0;28/11/2017;7000000;microempresarial
9150;femenino;servicio;comidas rapidas;villa hermosa;3;8.0;9/03/2016;6500000;microempresarial
9151;femenino;comercio;productos de belleza;robledo;1;7.0;13/03/2019;1500000;microempresarial
9152;femenino;comercio;variedades;guayabal;3;15.0;7/03/2018;7000000;microempresarial
9153;masculino;servicio;barberia;robledo;2;7.0;27/02/2017;5000000;microempresarial
9154;femenino;comercio;variedades;manrique central no. 1;1;4.0;13/02/2017;5000000;microempresarial
9155;femenino;servicio;fabrica de helados;doce de octubre no.1;2;6.0;20/02/2018;$ 3,500,000.00;microempresarial
9156;masculino;comercio;variedades;robledo;2;7.0;14/02/2018;2000000;microempresarial
9157;masculino;servicio;peluqueria;manrique oriental;2;3.0;29/10/2018;5000000;microempresarial
9158;femenino;comercio;variedades;sin barrio;02;;8/10/2018;3000000;microempresarial
9159;masculino;servicio;tienda;guayabal;3;15.0;20/05/2019;5000000;microempresarial
9160;femenino;comercio;VARIEDADES;las palmas;3;10.0;30/11/2016;5000000;microempresarial
9161;femenino;comercio;comidas rapidas;aranjuez;02;4.0;26/10/2018;7800000;microempresarial
9162;femenino;comercio;tienda;robledo;1;7.0;15/03/2017;1500000;microempresarial
9163;femenino;comercio;variedades;santa cruz;2;2.0;23/05/2017;7300000;microempresarial
9164;masculino;comercio;mantenimiento en ;;2;6.0;18/10/2017;7370000;microempresarial
9165;femenino;servicio;cafe e internet;popular;1;1.0;24/04/2019;6000000;microempresarial
9166;femenino;comercio;variedades;la candelaria;2;10.0;9/02/2016;6890000;microempresarial
9167;femenino;comercio;carniceria;castilla;3;5.0;16/12/2016;6894000;microempresarial
9168;femenino;servicio;peluqueria;enciso;1;8.0;7/09/2016;3500000;microempresarial
9169;femenino;industria;fabrica de ;manrique central no. 1;2;4.0;2017/10/23;7300000;microempresarial
9170;masculino;servicio;barberia;belen;2;16.0;21/12/2016;6800000;microempresarial
9171;femenino;comercio;taller de mecanica;belen;3;16.0;13/10/2017;3500000;MICROEMPRESARIAL
9172;femenino;servicio;variedades;girardot;3;5.0;8/03/2018;7000000;microempresarial
9173;femenino;industria;fabrica de ;moravia;1;4.0;24/07/2018;5000000;microempresarial
9174;masculino;servicio;panaderia;manrique central no. 1;2;4.0;4/09/2018;3000000;microempresarial
9175;masculino;servicio;criadero de animales ;altavista;02;16.0;16/06/2017;14000000;AGROPECUARIA
9176;masculino;comercio;variedades;enciso;2;8.0;9/03/2017;7377000;microempresarial
9177;femenino;servicio;productos de belleza;enciso;2;8.0;2018/08/24;7000000;microempresarial
9178;femenino;servicio;peluqueria;aranjuez;2;4.0;25/05/2017;6000000;microempresarial
9179;masculino;comercio;restaurante;robledo;3;7.0;27/06/2017;7000000;microempresarial
9180;femenino;industria;fabrica de ;san javier no.1;1;13.0;29/06/2016;5000000;microempresarial
9181;masculino;comercio;legumbreria;manrique oriental;1;3.0;22/12/2017;4000000;microempresarial
9182;femenino;comercio;montallantas;playon de los ;1;2.0;27/11/2018;7800000;microempresarial
9183;masculino;comercio;variedades;DOCE DE OCTUBRE NO.1;2;6.0;2/02/2018;7000000;microempresarial
9184;femenino;industria;fabrica de ;castilla;2;5.0;31/07/2017;4500000;microempresarial
9185;masculino;industria;fabrica de alimentos;san javier no.2;2;13.0;7/06/2016;6000000;microempresarial
9186;FEMENINO;comercio;variedades;BUENOS AIRES;3;9.0;6/11/2018;3000000;microempresarial
9187;masculino;comercio;restaurante;san javier no.1;3;13.0;19/04/2017;7370000;microempresarial
9188;femenino;industria;fabrica de ;enciso;3;8.0;5/07/2018;4000000;microempresarial
9189;femenino;comercio;tienda;picacho;1;6.0;10/11/2016;6890000;microempresarial
9190;MASCULINO;servicio;barberia;manrique central no. 1;2;4.0;6/02/2018;7800000;microempresarial
9191;femenino;comercio;almacen de ropa en ;robledo;2;7.0;9/03/2017;6000000;microempresarial
9192;femenino;comercio;almacen-de-ropa-en-;castilla;2;5.0;11/10/2016;3500000;microempresarial
9193;masculino;comercio;tienda;robledo;2;7.0;27/07/2017;7370000;microempresarial
9194;masculino;comercio;tienda;castilla;3;5.0;29/01/2019;$ 7,000,000.00;microempresarial
9195;masculino;comercio;barberia;el compromiso;1;1.0;3/10/2017;5000000;microempresarial
9196;femenino;servicio;comidas rapidas;aranjuez;2;4.0;26/05/2017;7300000;microempresarial
9197;masculino;industria;fotografia;popular;1;1.0;16/01/2018;4000000;microempresarial
9198;femenino;comercio;almacen de ropa en ;robledo;1;7.0;17/05/2017;6000000;microempresarial
9199;femenino;industria;fabrica de ;barrio caicedo;1;9.0;8/04/2019;4500000;microempresarial
9200;masculino;industria;fabrica de alimentos;san javier no.2;3;13.0;29/02/2016;6890000;microempresarial
9201;femenino;comercio;almacen de ropa en ;santo domingo savio ;02;1.0;14/03/2018;7000000;microempresarial
9202;masculino;comercio;venta de calzado;manrique central no. 2;2;3.0;30/05/2018;7800000;microempresarial
9203;femenino;industria;FABRICA DE ;doce de octubre no.1;2;6.0;24/02/2016;3500000;microempresarial
9204;femenino;comercio;restaurante;la milagrosa;2;9.0;27/02/2019;8200000;microempresarial
9205;femenino;;variedades;barrio caicedo;2;9.0;4/09/2017;$ 7,000,000.00;microempresarial
9206;masculino;industria;variedades;el salvador;03;9.0;2018/05/25;$ 7,000,000.00;microempresarial
9207;femenino;industria;fabrica de ;manrique central no. 1;1;4.0;8/05/2019;8000000;microempresarial
9208;FEMENINO;servicio;fabrica de ;robledo;2;7.0;21/06/2016;6700000;microempresarial
9209;masculino;servicio;fabrica de helados;francisco antonio zea;3;5.0;1/11/2016;$ 6,890,000.00;microempresarial
9210;masculino;servicio;comidas rapidas;francisco antonio zea;3;5.0;14/12/2016;6890000;microempresarial
9211;femenino;comercio;tienda naturista;carpinelo;1;1.0;23/02/2017;5000000;microempresarial
9212;femenino;servicio;panaderia;manrique central no. 1;2;4.0;19/04/2017;7300000;microempresarial
9213;femenino;comercio;comidas rapidas;castilla;3;5.0;13/12/2017;4300000;microempresarial
9214;femenino;servicio;tienda;robledo;1;7.0;2017/08/22;2000000;microempresarial
9215;femenino;servicio;variedades;florencia;3;5.0;5/07/2018;4000000;microempresarial
9216;masculino;comercio;taller de electronica;robledo;3;7.0;2016/12/02;5000000;microempresarial
9217;masculino;comercio;taller de electronica;villa niza;2;2.0;1/06/2018;6000000;microempresarial
9218;masculino;;variedades;granizal;2;1.0;21/02/2018;1000000;microempresarial
9219;masculino;comercio;variedades;robledo;1;7.0;10/11/2017;7000000;microempresarial
9220;masculino;comercio;marqueteria;popular;2;1.0;14/09/2018;2500000;microempresarial
9221;masculino;comercio;variedades;san javier no.1;1;13.0;13/07/2018;7800000;microempresarial
9222;femenino;comercio;tienda;alejandro echavarria;3;9.0;7/12/2016;6890000;microempresarial
9223;femenino;servicio;peluqueria;enciso;2;8.0;5/03/2019;8000000;microempresarial
9224;femenino;servicio;cafe e internet;pedregal;2;6.0;5/07/2016;2000000;microempresarial
9225;femenino;comercio;almacen de ropa en ;popular;1;1.0;22/03/2017;7377000;microempresarial
9226;FEMENINO;comercio;tienda;buenos aires;1;9.0;11/10/2017;5000000;microempresarial
9227;MASCULINO;industria;deposito de ;villa hermosa;2;8.0;10/05/2018;7500000;microempresarial
9228;femenino;servicio;peluqueria;popular;2;1.0;7/09/2016;5000000;microempresarial
9229;femenino;industria;almacen de ropa en ;cabecera san antonio ;2;80.0;27/07/2017;5000000;microempresarial
9230;femenino;comercio;distribuidora de ;villa hermosa;3;8.0;14/11/2017;$ 6,000,000.00;microempresarial
9231;masculino;comercio;comidas rapidas;aranjuez;2;4.0;3/03/2017;4000000;microempresarial
9232;femenino;comercio;variedades;castilla;2;5.0;15/05/2018;2000000;microempresarial
9233;femenino;servicio;peluqueria;robledo;1;7.0;21/11/2017;7377000;microempresarial
9234;MASCULINO;servicio;mantenimiento en ;buenos aires;3;9.0;13/07/2017;6000000;microempresarial
9235;femenino;servicio;comidas rapidas;buenos aires;1;9.0;7/07/2017;7000000;microempresarial
9236;femenino;industria;fabrica de ;guayabal;1;15.0;7/04/2016;6890000;microempresarial
9237;femenino;comercio;comidas rapidas;robledo;3;7.0;22/12/2016;1500000;microempresarial
9238;femenino;comercio;tienda;popular;2;1.0;11/10/2018;7800000;credioportuno
9239;masculino;servicio;barberia;san javier no.1;3;13.0;20/04/2018;7800000;microempresarial
9240;femenino;comercio;taller de electronica;santo domingo savio ;1;1.0;13/07/2018;3000000;microempresarial
9241;femenino;comercio;panaderia;cabecera san cristobal;3;60.0;24/09/2018;6000000;microempresarial
9242;masculino;comercio;almacen de ropa en ;hector abad gomez;2;5.0;7/11/2018;4000000;microempresarial
9243;masculino;comercio;distribuidora de ;aranjuez;3;4.0;5/07/2018;7800000;microempresarial
9244;masculino;comercio;COMIDAS RAPIDAS;BELEN;3;16.0;2/05/2018;3500000;microempresarial
9245;femenino;comercio;tienda;palmitas;1;50.0;14/06/2016;5000000;microempresarial
9246;femenino;comercio;tienda;barrio caicedo;1;9.0;11/09/2017;2000000;microempresarial
9247;femenino;comercio;productos de mar;el salvador;2;9.0;16/03/2018;7800000;microempresarial
9248;femenino;comercio;tienda;blanquizal;1;13.0;14/05/2019;2000000;microempresarial
9249;femenino;comercio;papeleria;buenos aires;3;9.0;9/06/2017;5000000;microempresarial
9250;femenino;comercio;tienda;antonio nariño;2;13.0;6/11/2018;4000000;microempresarial
9251;femenino;comercio;servicios ;manrique central no. 1;2;4.0;25/07/2018;7800000;microempresarial
9252;femenino;comercio;comidas-rapidas;san javier no.1;1;13.0;4/08/2017;2000000;microempresarial
9253;femenino;comercio;comidas rapidas;cabecera san cristobal;2;60.0;11/10/2016;2500000;microempresarial
9254;masculino;servicio;fabrica de ;robledo;2;7.0;9/08/2016;6890000;microempresarial
9255;femenino;servicio;fabrica de ;la-floresta;2;12.0;19/05/2016;4000000;microempresarial
9256;masculino;comercio;mantenimiento en ;la candelaria;2;10.0;22/01/2016;5000000;microempresarial
9257;femenino;comercio;cafeteria;san javier no.1;2;13.0;29/11/2017;7300000;microempresarial
9258;femenino;industria;fabrica de ;cabecera san antonio ;2;80.0;21/06/2018;5000000;microempresarial
9259;femenino;comercio;charcuteria;villa hermosa;3;8.0;11/05/2016;1500000;microempresarial
9260;femenino;industria;fabrica de ;belen;3;16.0;24/09/2018;6000000;microempresarial
9261;masculino;industria;fabrica de ;manrique central no. 1;1;4.0;26/04/2018;7800000;microempresarial
9262;femenino;servicio;peluqueria;santander;2;6.0;17/08/2017;7000000;microempresarial
